id	en1	jp1	en2	jp2	level	similar
8522	coarsely	粗く、乱暴に	He cut the bread coarsely.	彼は粗くパンを切った。	2	[4298,8076,7135,6971,1848]
8523	incision	切開、切り込み	The surgeon made an incision in the skin.	外科医は皮膚に切開を入れた。	2	[1144,1049,2694,6087,4669]
8524	minion	手下、子分	He works as a minion for the president.	彼は社長の手下として働いている。	2	[8003,7980,3787,4436,3602]
8525	queasy	吐き気がする、不安な	I feel a little queasy.	私は少し吐き気がする。	2	[7222,5022,8757,5920,8820]
8526	stamp out	～を根絶する、撲滅する	The government is trying to stamp out corruption.	政府は汚職を根絶しようとしている。	1	[6772,4913,7487,398,7027]
8527	onus	責任、負担	The onus is on him.	その責任は彼にある。	2	[6849,5871,3227,1813,8384]
8528	look beyond	～を超えて見る、先を見通す	We need to look beyond short-term gains.	私たちは短期的な利益を超えて見るべきです。	1	[4586,331,3328,7296,4251]
8529	duly	適切に、正式に	Please fill out the application form duly.	申請書は適切に記入してください。	2	[5475,1701,30,9299,1098]
8530	to all appearances	見たところ、どうやら	To all appearances, he seems healthy.	見たところ、彼は元気そうだ。	1	[10295,6805,5966,5788,7784]
8531	wanton	不当な、気まぐれな	It was a wanton act of violence.	それは不当な暴力行為だった。	2	[6838,3496,7206,7426,6278]
8532	kerosene	灯油	He warmed the room with a kerosene heater.	彼は灯油ストーブで部屋を暖めた。	2	[9259,8573,7592,2091,358]
8533	pull away from	～から離れる、抜け出す	He pulled away from the crowd.	彼は群衆から離れた。	1	[4123,6266,7457,3361,6385]
8534	faltered	(自信などが)揺らぐ、ためらう	His voice faltered a bit.	彼の声は少し揺らぎました。	2	[4998,3201,3209,1800,4271]
8535	authorize	認可する、許可する	He authorized the budget for the project.	彼はプロジェクトの予算を認可しました。	1	[4965,5285,4478,3178,8321]
8536	marvel	驚く、驚嘆する	She marveled at his talent.	彼女は彼の才能に驚きました。	1	[7042,5329,3086,3643,3718]
8537	transmission	伝達、送信	The healthcare worker confirmed the transmission of the patient's symptoms.	医療従事者は患者の症状の伝達を確認しました。	1	[5888,10578,10389,4644,7720]
8538	peep	のぞき見る	The child was peeping at the view outside the window.	子供は窓の外の景色をのぞき見ていました。	2	[6608,2994,8032,4825,4857]
8539	endeavor	努力、尽力	He endeavored in the new business, but it failed.	彼は新しいビジネスに努めたが、失敗しました。	1	[8734,5609,8061,3333,8461]
8540	physicist	物理学者	The physicist discovered a new source of energy.	物理学者は新しいエネルギー源を発見しました。	1	[4369,3888,10349,2845,103]
8541	immature	未成熟な	His immature behavior caused confusion around him.	彼の未成熟な行動は周囲を混乱させました。	1	[684,1695,4858,5266,4151]
8542	outbreak	発生、爆発	The school was temporarily closed due to the outbreak of the illness.	病気の発生により、学校が一時閉鎖されました。	1	[10578,1369,526,8479,5925]
8543	manuscript	原稿	The author sent the manuscript of the new book to the publisher.	著者は新しい本の原稿を出版社に送りました。	1	[3742,8784,10353,5740,8300]
8544	stagger	ふらつく、混乱する	He staggered while walking due to fatigue.	彼は疲労して、歩きながらふらつきました。	2	[2481,5433,8040,7367,4356]
8545	come in handy	役に立つ、重宝する	This small tool will come in handy when you need it.	この小さなツールは、いざという時に役に立つでしょう。	1	[10432,3926,1920,6530,3234]
8546	contractual	契約上の	This is a contractual obligation.	これは契約上の義務です。	2	[7284,3513,7943,1417,10390]
8547	be into	～に夢中である、～が好きである	He's really into old records lately.	彼は最近、古いレコードに夢中です。	1	[1870,7518,7789,8507,6366]
8548	talisman	お守り、魔よけ	She wears this pendant as a talisman for good luck.	彼女は幸運のお守りとしてこのペンダントを身につけています。	2	[10754,336,7156,989,2211]
8549	at large	逃走中で、逮捕されていない	The suspect is still at large.	容疑者は依然として逃走中です。	1	[5713,7732,6998,1071,7440]
8550	shelf life	賞味期限、保存期間	The shelf life of this product is one week.	この商品の賞味期限は1週間です。	1	[2679,10404,668,7304,6992]
8551	rejoinder	返答、反論	Her rejoinder to his question was sharp.	彼の質問に対する彼女の返答は鋭かった。	2	[7855,8056,7424,8674,7018]
8552	culpable	非難されるべき、罪がある	He was culpable for the accident because it was caused by his negligence.	事故の原因は、彼の過失によるものであり、彼は非難されるべきです。	2	[7839,3938,7173,2942,5939]
8553	mayhem	大混乱、騒動	The protests caused mayhem in the city.	抗議活動は、街中で大混乱を引き起こしました。	2	[8096,4533,6269,6929,10015]
8554	ulterior	隠された、裏の	He must have some ulterior motive.	彼には何か裏の目的があるに違いない。	2	[8913,638,5326,7220,7028]
8555	cordial	友好的な、心からの	They welcomed me in a very cordial manner.	彼らは、とても友好的な雰囲気で歓迎してくれました。	2	[7505,1066,5986,1548,543]
8556	hinge on	～次第である、～にかかっている	Success hinges on your effort.	成功は、あなたの努力次第です。	1	[2173,4662,1996,453,3373]
8557	memento	記念品、思い出の品	This small ornament I bought on my trip is a good memento for me.	旅行中に買ったこの小さな置物は、私にとって良い思い出の品です。	2	[8104,4081,8548,9385,963]
8558	reckoning	清算、精算	That day will come for reckoning.	その日がいずれ清算の日となるでしょう。	2	[10213,7450,7857,2438,9761]
8559	throng	群衆、押し寄せる	A throng of people was crowding into the store.	人々が店に群がっていた。	2	[4032,4123,6586,7569,7457]
8560	veal	子牛肉	Let's try veal tonight.	今夜は子牛肉料理を試してみよう。	2	[588,9323,8980,9085,1538]
8561	none the more	少しも～ない、少しも～でない	He was none the more upset knowing the truth.	彼はその事実を知っても、少しも動揺しなかった。	1	[6819,10444,1181,7964,4922]
8562	downcast	落ち込んだ、意気消沈した	He was downcast after failing the exam.	彼は試験に落ちて、落ち込んでいた。	2	[6497,4849,9924,2957,6830]
8563	provided that	～という条件で、もし～ならば	Provided that the weather is good, let's go on a picnic.	天気が良ければ、ピクニックに行きましょう。	1	[209,3281,9861,598,6558]
8564	be bent on	～に熱中している、～に固執している	He is bent on making the project a success.	彼は、そのプロジェクトを成功させることに固執している。	1	[8093,5382,70,4898,3604]
8565	drag out	長引かせる、引き延ばす	Please don't drag out the meeting.	会議を長引かせないでください。	1	[4761,6381,4509,3543,1436]
8566	blurry	ぼやけた、不鮮明な	The picture is blurry.	写真がぼやけている。	2	[4253,3853,10163,8135,4517]
8567	in large	大まかに言って、全体として	In large, the project can be considered a success.	大まかに言って、プロジェクトは成功したと言えるでしょう。	1	[10403,6249,8602,7455,5795]
8568	bough	大きな枝、太い枝	A bird was perching on the bough of the tree.	鳥が木の太い枝に止まっていました。	2	[8882,259,586,2396,722]
8569	exclusion	除外、排除	His name was left out by exclusion from the participant list.	彼の名前が参加者リストから除外されていました。	2	[2072,5859,5783,2768,810]
8570	pious	敬虔な、信心深い	She is a pious woman who prays at the temple every day.	彼女は毎日お寺で敬虔に祈りを捧げています。	2	[6718,8949,5662,479,481]
8571	affirm	断言する、確認する	He affirmed his innocence.	彼は自分の無実を断言しました。	2	[8252,510,3199,5806,5067]
8572	feminine	女性的な、女性らしい	She has a graceful and feminine atmosphere.	彼女は優雅で女性的な雰囲気を持っています。	2	[7307,8681,7530,7041,5437]
8573	hearth	暖炉、炉床	The family gathered around the hearth to keep warm.	家族は暖炉の周りに集まって温まりました。	2	[7420,8532,6739,9208,10633]
8574	expenditure	支出、経費	The company is trying to reduce unnecessary expenditure.	会社は不要な支出を削減しようとしています。	2	[2607,1219,4748,8918,6008]
8575	bachelor	独身男性、学士	He remains a bachelor even at the age of 30.	彼は30歳になっても独身を通しています。	2	[7652,1270,2963,4284,4651]
8576	shawl	ショール、大判スカーフ	She wrapped a shawl around her shoulders on the cold night.	彼女は寒い夜に肩にショールを羽織りました。	2	[1490,10526,3923,5345,3950]
8577	grumble	不平を言う、文句を言う	The employees are grumbling about the new rules.	従業員たちは新しい規則について不平を言っています。	2	[1677,7535,2759,10807,3505]
8578	interaction	相互作用、交流	Good interaction between students and teachers promotes learning.	学生と教師の間の良好な相互作用が学習を促進します。	1	[6456,2094,3098,10529,2127]
8579	affectionate	愛情のある、優しい	She is a very affectionate mother to her children.	彼女は子供たちにとても愛情深い母親です。	2	[8242,6822,4273,8719,2215]
8580	novelty	目新しさ、新規性	The novelty of the new gadget soon wore off.	その新しいガジェットの目新しさはすぐに薄れました。	2	[4231,2419,5521,6058,7593]
8581	litter	ごみ、散らかす	It is forbidden to drop litter in the park.	公園にごみを捨てることは禁止されています。	2	[6503,6303,4342,5669,10073]
8582	brew	醸造する、（お茶を）入れる	He brews fresh coffee every morning.	彼は毎朝新鮮なコーヒーを入れます。	2	[2125,1485,285,672,7984]
8583	brace	支える、固定する	The workers installed wooden braces to support the wall.	作業員は壁を支えるために木の支柱を設置しました。	2	[1926,5188,8277,7225,7726]
8584	velocity	速度、速さ	The scientists measured the velocity of the falling object.	科学者は物体の落下速度を測定しました。	1	[761,1399,9641,714,3851]
8585	tow	牽引する、引っ張る	The broken car was towed to the repair shop.	故障した車は修理工場まで牽引されました。	2	[1101,10348,3206,1797,6284]
8586	aerospace	航空宇宙の	He works in the aerospace industry.	彼は航空宇宙産業で働いています。	2	[8015,4638,3971,3949,2801]
8587	anguish	苦悩、苦痛	She was suffering from the anguish of losing her loved one.	彼女は愛する人を失った苦悩に耐えていました。	2	[3653,5069,3489,8393,3766]
8588	repel	撃退する、はね返す	The country repelled the enemy's attack.	その国は敵の攻撃を撃退しました。	2	[8241,5594,4984,7949,7669]
8589	comply	従う、応じる	All employees must comply with the safety regulations.	全従業員は安全規則に従わなければなりません。	1	[7179,2759,7423,8635,4595]
8590	habitat	生息地、住処	The natural habitat of pandas is bamboo forests.	パンダの自然な生息地は竹林です。	1	[9081,6912,9184,9370,1657]
8591	conciliatory	調停的な、宥和的な	He approached the negotiations with a conciliatory attitude.	彼は調停的な態度で交渉に臨みました。	2	[7844,7391,4107,7606,7439]
8592	thoroughfare	主要道路、大通り	This thoroughfare runs through the city center.	この主要道路は都市の中心部を通っています。	2	[867,2170,2420,4464,10294]
8593	take A into consideration	Aを考慮に入れる	We will take your opinion into consideration.	私たちはあなたの意見を考慮に入れます。	1	[9065,61,1387,10577,10523]
8594	typhoid	腸チフス	Typhoid vaccination is necessary before traveling abroad.	腸チフスの予防接種は海外渡航前に必要です。	2	[7186,9928,8511,1560,3445]
8595	syringe	注射器	The nurse prepared a new syringe.	看護師は新しい注射器を準備しました。	2	[4644,5287,3736,6950,4258]
8596	submit A to B	AをBに提出する	He submitted the report to his boss.	彼は報告書を上司に提出しました。	1	[9824,3278,8288,5014,3116]
8597	stubble	無精ひげ、（作物の）刈り株	He had two days' worth of stubble on his face.	彼の顔には2日分の無精ひげ生えていました。	2	[227,42,6767,2862,8365]
8598	eviction	立ち退き、退去	They received an eviction notice due to unpaid rent.	家賃未払いにより立ち退きを命じられました。	2	[3099,4781,4337,4504,7690]
8599	demarcation	境界線、区分	The demarcation between the two countries is clearly drawn.	両国間の境界線は明確に引かれています。	2	[661,1283,9083,6864,8390]
8600	diva	歌姫、プリマドンナ	She is one of the greatest divas of our time.	彼女は現代最高のディーバの一人です。	2	[6520,9395,1836,7052,8636]
8601	lay in	備蓄する、蓄える	We laid in supplies for the winter.	冬に備えて食料を備蓄しました。	1	[5231,2065,3579,10815,72]
8602	culminate	頂点に達する、集大成となる	The project culminated in a great success.	その計画は大きな成功で頂点に達しました。	2	[10403,6249,8567,1898,5795]
8603	from top to bottom	完全に、徹底的に	I cleaned the house from top to bottom.	家を上から下まで掃除しました。	1	[2011,6942,5896,4190,2817]
8604	close out	終了する、清算する	The store is having a sale to close out its inventory.	店は在庫を清算するためにセールを行っています。	1	[1314,3763,6507,5580,10583]
8605	deference	敬意、従順	It's important to show deference to elders.	年長者への敬意を示すことは重要です。	2	[1203,5562,2180,7140,6483]
8606	bail out	救済する、助け出す	The government bailed out the struggling company.	政府は苦境に立たされた企業を救済しました。	1	[3662,8920,6621,7687,5887]
8607	plop	どさっと落ちる、ばたんと座る	I plopped down on the sofa exhausted.	疲れ果ててソファーにぽとんと座りました。	2	[2721,5053,5997,4356,1043]
8608	procrastinate	先延ばしにする	I'm procrastinating on my work despite the deadline.	締め切りが近いのに仕事を先延ばしにしています。	2	[9492,1497,996,2057,3325]
8609	flora	植物群、植生	The flora in this region is very diverse.	この地域の植生は非常に豊かです。	2	[2911,6628,8016,7348,7241]
8610	futility	無益、無駄	I realized the futility of my efforts.	その努力の無駄に気づきました。	2	[5393,6759,2479,3144,9654]
8611	sticking point	行き詰まり、障害点	The overtime pay was the sticking point in salary negotiations.	給与交渉の障害点は残業手当でした。	1	[7606,7439,1921,8668,10496]
8612	abomination	忌まわしいもの、嫌悪すべきもの	War is an abomination against humanity.	戦争は人類への abomination です。	2	[6591,6278,4516,3251,6174]
8613	be alien to	～に馴染みがない、無縁である	This concept is completely alien to me.	この考えは私には全く alien です。	1	[4640,3727,10289,8278,9318]
8614	compost	堆肥	We are making compost from garden waste.	庭の廃棄物から堆肥を作っています。	2	[2601,6720,2252,6987,1427]
8615	surmise	推測する、推測	We can surmise the truth from his actions.	彼の行動から真実を推測することができます。	2	[4405,3254,2588,4142,5314]
8616	viable	実行可能な、実現可能な	This project may not be viable due to lack of funding.	このプロジェクトは資金不足のため、実行可能ではないかもしれません。	2	[7821,5753,1906,5563,6851]
8617	grate	（食べ物を）すりおろす、きしむ	She grated the cheese and sprinkled it over the pasta.	彼女はチーズをすりおろしてパスタにかけた。	2	[1449,1255,2246,5261,5951]
8618	bank on	当てにする、頼る	I always bank on him to be on time.	私はいつも彼が時間通りに来ることを当てにしている。	1	[727,7399,8355,7371,2898]
8619	neutralize	無効にする、中和する	This medicine helps to neutralize the poison.	この薬は毒を中和するのに役立つ。	2	[8370,6072,7050,5519,8198]
8620	graceful	優雅な、上品な	She danced gracefully like a ballet dancer.	彼女はバレエダンサーのように優雅に踊った。	2	[557,490,1294,2364,10130]
8621	fall off	落ちる、減少する	Sales have fallen off considerably since last month.	売り上げは先月からかなり減少している。	1	[9456,8704,9887,7959,8037]
8622	look down on	見下す、軽蔑する	He always looks down on poor people.	彼は貧しい人をいつも見下している。	1	[4711,6028,8639,6672,6024]
8623	stingy	ケチな、出し惜しむ	He is surprisingly stingy and never shares anything.	彼は驚くほどケチで、決して何かを分け与えようとしない。	2	[8348,4319,8439,7560,3700]
8624	jab	（ボクシングなどの）ジャブ、突く	He landed a quick jab on his opponent.	彼は相手に素早いジャブを食らわせた。	2	[5396,6376,2543,5397,4924]
8625	dusky	薄暗い、ほの暗い	The dusky sky at dusk was very beautiful.	夕暮れの空は薄暗く、とても美しかった。	2	[1254,14,1390,3526,1239]
8626	subdivision	細分、小区画	This area is divided into several residential subdivisions.	この地域はいくつかの住宅小区画に分けられている。	2	[7129,7917,8297,4014,10100]
8627	focal	焦点の、中心的な	The focal point of this meeting is the new marketing strategy.	今回の会議の焦点は、新しいマーケティング戦略についてだ。	2	[4689,386,5776,4783,4554]
8628	shun	避ける、遠ざける	He is being shunned by his colleagues because of his past mistakes.	彼は過去の過ちのために、仲間から避けられている。	2	[2365,2865,7689,4634,7662]
8629	wig	かつら	She wore a flamboyant wig for the party.	彼女はパーティーのために派手なかつらをかぶった。	2	[6710,7368,4660,2194,624]
8630	discernible	識別できる、見分けられる	The shape of the building is discernible even from a distance.	遠くからでも、その建物の形は識別できる。	2	[6782,5430,7133,4927,9102]
8631	exhilarate	元気づける、愉快にする	Her victory exhilarated everyone.	彼女の勝利はみんなを元気づけた。	2	[1784,7003,1653,3539,3686]
8632	stick around	（その場に）とどまる、居残る	I'm planning to stick around for a little while after the party.	パーティーの後、少しの間だけ居残るつもりです。	1	[8976,2248,9317,10917,9732]
8633	stuffed	詰め物をした、満腹の	I was stuffed after the Thanksgiving dinner.	感謝祭のディナーの後、私はお腹がいっぱいだった。	2	[2330,753,7686,9529,4036]
8634	mince	（肉などを）ひき肉にする、ごまかす	She minced the onion finely.	彼女は玉ねぎを細かく刻んだ。	2	[8864,7993,6494,8522,1449]
8635	statutory	法令の、法律上の	Companies have a statutory obligation to protect their employees.	企業には、従業員を保護するための法定義務がある。	2	[6041,8589,7179,6328,2945]
8636	role model	模範となる人、お手本	She is a role model for young girls.	彼女は若い女の子たちのロールモデルだ。	1	[9303,6654,7369,7790,7076]
8637	obstruct	妨害する、阻止する	The large truck was obstructing the road.	その大きなトラックは道路を妨害していた。	2	[10362,600,1551,8087,562]
8638	stature	身長、名声、地位	His high stature gave him a lot of influence.	彼の高い地位は、大きな影響力を持っていた。	2	[5062,5759,4382,10548,5444]
8639	talk down to	見下した態度で話す、説教する	He always talks down to me when he speaks.	彼は私に話す時、いつも見下した態度をとる。	1	[2785,2370,8622,3152,4711]
8640	whimper	すすり泣く、クンクン鳴く	The puppy whimpered softly from loneliness.	子犬は寂しさで弱々しくすすり泣いていました。	2	[8199,7021,8257,6948,6587]
8641	rebuttal	反論、反駁	She presented a strong rebuttal to their argument.	彼女は相手の主張に対して強力な反論を展開しました。	2	[4723,1500,6044,5186,1722]
8642	in a million	百万に一つの、とてもまれな	There's not a chance in a million of that happening.	そんな機会は百万に一つもありません。	1	[4343,4208,4762,10218,6700]
8643	pass through	通過する、経由する	We passed through a small town on our way to the destination.	私たちは小さな町を通過して目的地に向かいました。	1	[7393,7232,1506,8254,2186]
8644	retract	撤回する、取り消す	He had to retract his statement.	彼は自分の発言を撤回せざるを得ませんでした。	2	[3320,1416,8457,2285,8175]
8645	make for	～に向かう、～の原因となる	We made for the beach.	私たちは海岸に向かって走りました。	1	[8372,10052,5131,9798,5064]
8646	die of	～が原因で死ぬ	Many people died of the disease.	多くの人々が病気で亡くなりました。	1	[3184,5449,5982,3251,7861]
8647	be devoid of	～を欠いている	The report was devoid of specific details.	その報告書は具体的な詳細を欠いていました。	1	[2846,968,6320,5877,7168]
8648	elation	歓喜、大喜び	She felt elation when she passed the exam.	試験に合格した時、彼女は歓喜に満ちていました。	2	[7616,1263,334,3453,1208]
8649	hatchet	手斧	He used a hatchet to split the firewood.	彼は薪を割るために手斧を使いました。	2	[6173,956,3613,7526,4828]
8650	infertility	不妊	Infertility treatment technology is advancing year by year.	不妊治療の技術は年々進歩しています。	2	[2926,8367,926,612,5319]
8651	high and low	あちこち、くまなく	I searched high and low for my keys.	私は鍵を家中くまなく探しました。	1	[1632,2266,9745,9901,9668]
8652	be weary of	～にうんざりしている	She was weary of doing the same job every day.	彼女は毎日同じ仕事の繰り返しにうんざりしていました。	1	[4431,6870,7783,6995,7062]
8653	node	節、結節	This network has many connection nodes.	このネットワークには多くの接続ノードがあります。	2	[8126,19,6725,6616,1999]
8654	dune	砂丘	The landscape of the dunes was breathtakingly beautiful.	砂丘の風景は息をのむほど美しかったです。	2	[7088,4815,1661,3598,6696]
8655	circumference	円周、周囲	He calculated the circumference of the Earth.	彼は地球の円周を計算しました。	2	[4421,3770,4255,3892,5809]
8656	with a start	はっとして、驚いて	She woke up with a start at the loud noise.	彼女は大きな音で突然はっとして目を覚ましました。	1	[8847,8334,3721,6705,4072]
8657	infatuation	熱中、夢中	It was just a temporary infatuation.	それは単なる一時的な熱中に過ぎませんでした。	2	[7859,7462,3491,3245,3295]
8658	mulch	農業や園芸でのマルチ（土壌被覆材）	The gardener spread mulch around the plants.	庭師は植物の周りにマルチを敷きました。	2	[2121,7671,717,361,1427]
8659	for life	生涯の間、永久に	They became friends for life.	彼らは生涯の親友となりました。	1	[8234,2589,8867,6717,2811]
8660	parson	牧師	The parson delivered a sermon on Sunday.	牧師は日曜日に説教を行いました。	2	[551,645,4100,4172,511]
8661	inflict A on B	AをBに課す、与える	They inflicted strict rules on the citizens.	彼らは市民に厳しい規則を課しました。	1	[5804,4889,8002,7596,1908]
8662	malady	病気、病	The doctor tried to identify the cause of the rare malady.	医師はその珍しい病気の原因を特定しようとしました。	2	[1512,5888,6182,7720,1900]
8663	pellet	小球、ペレット	The birds were eating pellets from the feeder.	鳥たちは餌箱のペレットを食べていました。	2	[8316,69,8445,6971,1659]
8664	oddly enough	不思議なことに	Oddly enough, no one was late that day.	不思議なことに、その日は誰も遅刻しませんでした。	1	[6622,10500,6130,2898,5255]
8665	to the full	十分に、最大限に	We should enjoy life to the full.	私たちは人生を十分に楽しむべきです。	1	[1544,7742,10810,513,268]
8666	quandary	苦境、板挟み	She was in a quandary about which university to attend.	彼女はどの大学に行くかという苦境に立たされていた。	2	[301,4297,3710,7078,152]
8667	leaden	鉛のような、陰鬱な	The sky was leaden and it looked like rain.	空は鉛色で、雨が降りそうだった。	2	[1195,1592,4831,8121,8028]
8668	militantly	攻撃的に、戦闘的に	The workers militantly demonstrated for higher wages.	労働者たちは賃金アップを求めて攻撃的にデモを行った。	2	[349,5636,1991,7567,1004]
8669	as A as any	他のAに劣らず、まさしくAである	She is as good a doctor as any.	彼女は他の誰にも劣らず優秀な医者だ。	1	[4664,8806,1561,2013,10250]
8670	melancholy	憂鬱、悲哀	The autumn day filled her with melancholy.	秋の日は彼女を憂鬱な気分にさせた。	2	[2244,5245,8028,6681,1535]
8671	go astray	道に迷う、逸脱する	He went astray by getting in with the wrong crowd.	彼は悪い仲間と付き合って道を踏み外した。	1	[6988,4399,4318,7249,4270]
8672	daunting	気が滅入るような、困難な	The amount of work was daunting.	その仕事の量は気が滅入るほどだった。	2	[6191,6852,10438,2977,7875]
8673	mumps	おたふく風邪	I had mumps when I was a child.	子供の頃におたふく風邪にかかりました。	2	[2290,7685,1368,7186,3734]
8674	glacial	氷河の、氷のような、冷淡な	She replied to him with a glacial tone.	彼女は氷のような態度で彼に答えた。	2	[6857,7855,8056,8551,5407]
8675	protocol	議定書、プロトコル、手順	The meeting proceeded according to diplomatic protocol.	外交儀礼に従って会談が進められた。	1	[4921,454,7712,4027,8124]
8676	at the cost of	〜を犠牲にして	He achieved success at the cost of his health.	彼は健康を犠牲にして成功を収めた。	1	[2558,1375,2825,5857,7452]
8677	ditto	同上、同様に	I'll have ice cream. – Ditto.	私はアイスクリーム、私も同上。	2	[10245,8336,9596,738,6048]
8678	plumage	鳥の羽毛	The bird's plumage was very beautiful.	その鳥の羽毛はとても美しかった。	2	[823,5004,10310,1112,3044]
8679	sidekick	相棒、子分	He always goes around with his sidekick.	彼は常に彼の相棒と一緒に行動している。	2	[6043,3936,2583,5267,4404]
8680	menial	つまらない、下僕のような	He had to do menial tasks.	彼はつまらない仕事をしなければならなかった。	2	[6870,8384,4431,7524,2754]
8681	blithe	のんきな、快活な	She has a blithe and cheerful personality.	彼女はいつも明るくのんきな性格だ。	2	[8850,7041,9642,2887,4736]
8682	sentry	歩哨、見張り	The sentry stood in front of the gate.	歩哨は門の前に立っていた。	2	[5204,5180,47,501,7344]
8683	rind	皮（果物などの）	Don't throw away the orange rind.	オレンジの皮を捨てないでください。	2	[7116,1806,6164,2168,3764]
8684	be oblivious of	〜に気づいていない、忘れている	He was oblivious of the sounds around him.	彼は周りの音に全く気づいていなかった。	1	[4688,7578,5358,7242,8334]
8685	inclination	傾向、好み、意向	She has an inclination to draw pictures all the time.	彼女はいつも絵を描く傾向がある。	2	[127,9891,5700,7239,539]
8686	obscure	不明瞭な、あいまいな、隠れた	The old photo was obscure in its details.	その古い写真は、詳細が不明瞭だった。	1	[8135,4253,3475,3853,5259]
8687	insistent	しつこい、強要する、主張する	He was insistent on getting his demands met.	彼は自分の要求を認めさせようと、しつこく言い続けた。	1	[7391,3492,7803,7476,6342]
8688	inflict	（苦痛などを）与える、負わせる	The disaster inflicted severe damage on the town.	その災害は町に大きな被害を与えた。	2	[6338,3588,5976,9876,6879]
8689	gratitude	感謝の気持ち、謝意	She expressed her deep gratitude for their kindness.	彼女は親切にしてくれたことに、深い感謝の気持ちを示した。	1	[7838,3633,3391,3141,5716]
8690	expressive	表情豊かな、表現力のある	She spoke with very expressive eyes.	彼女はとても表情豊かな目で話した。	1	[1665,1957,7554,6516,2855]
8691	sanitary	衛生的な、公衆衛生の	The restaurant maintains high sanitary standards.	そのレストランは、高い衛生基準を保っている。	1	[335,10834,4647,4391,538]
8692	trifle	ささいなこと、取るに足りないこと	It's just a trifle, you don't need to worry about it.	それは取るに足りないことで、心配する必要はない。	2	[2745,2858,3106,10261,4247]
8693	diploma	卒業証書、学位記	He graduated from university and received his diploma.	彼は大学を卒業し、卒業証書を受け取った。	1	[6467,8119,4039,6205,5137]
8694	bellybutton	へそ	She has a bellybutton piercing.	彼女はへそピアスをしています。	2	[10594,336,1408,10754,8548]
8695	patriot	愛国者、愛国主義者	He is a patriot who deeply loves his country.	彼は自分の国を深く愛する愛国者だ。	1	[7106,8773,6706,1310,10341]
8696	comrade	仲間、同志	They are comrades who fought together on the battlefield.	彼らは戦場で共に戦った戦友だ。	1	[2648,5490,8659,794,3198]
8697	witty	機知に富んだ、才気のある	She always tells witty jokes.	彼女はいつも機知に富んだジョークを言う。	1	[7029,1788,10040,8399,2887]
8698	pulse	脈、鼓動	The doctor took his pulse.	医者は彼の脈を測った。	1	[10389,6182,1065,1900,10237]
8699	testify	証言する、証明する	He testified about the incident.	彼は事件について証言した。	1	[4541,4060,1457,3227,7032]
8700	improper	不適切な、不作法な	That kind of language is improper.	そのような言葉遣いは不適切だ。	1	[6893,3511,8360,3807,2318]
8701	pastor	牧師、司祭	The pastor is respected in the community.	その牧師は、地域社会で尊敬されている。	2	[6365,551,10548,4700,4833]
8702	seasoning	調味料、味付け	This dish needs a little more seasoning.	この料理には、もう少し調味料が必要だ。	2	[295,3712,5261,2956,10085]
8703	oversee	監督する、監視する	She is responsible for overseeing the entire project.	彼女はプロジェクト全体を監督する責任があります。	1	[6232,2265,5694,10491,7056]
8704	plateau	高原、停滞期	Sales have reached a plateau for a few months.	売上は数ヶ月間停滞期に入っています。	2	[8621,9456,2749,4141,6837]
8705	detain	拘留する、引き留める	The police detained him for questioning.	警察は彼を事情聴取のために拘留しました。	1	[1071,4699,6998,5813,5586]
8706	petty	ささいな、取るに足りない	They always argue over petty things.	彼らはささいなことでいつも喧嘩をする。	2	[6596,8238,665,2931,2458]
8707	sage	賢人、賢明な	She gave me advice like a sage.	彼女はまるで賢人のようにアドバイスをくれた。	2	[6967,1407,3040,8932,1361]
8708	impotent	無力な、非力な	He felt impotent to his own fate.	彼は自分の運命に無力だと感じていた。	2	[2849,6020,8094,3942,4055]
8709	dictatorship	独裁政治、独裁国家	The country was under military dictatorship for many years.	その国は長年、軍事独裁政治下にあった。	1	[4286,8002,10623,6631,7589]
8710	irrigation	灌漑、灌漑設備	Irrigation is essential for agriculture in arid lands.	乾燥地では灌漑が農業に不可欠です。	2	[242,8714,1781,7939,7043]
8711	toothpick	つまようじ	He used a toothpick after the meal.	彼は食後につまようじを使った。	2	[2040,4931,2817,425,7167]
8712	avalanche	雪崩、殺到	A sudden avalanche blocked the mountain path.	突然の雪崩が山道を塞いだ。	2	[4512,2764,1645,600,5531]
8713	residue	残留物、残り	There was a residue of detergent at the bottom of the container.	容器の底に洗剤の残留物が残っていた。	2	[8274,8036,7208,2817,7231]
8714	irrigate	灌漑する、水を与える	The farmers used water from the river to irrigate their fields.	農家は畑を灌漑するために川の水を使いました。	2	[3120,762,8710,8341,5135]
8715	imprudent	軽率な、分別がない	I was surprised that he made an imprudent move.	彼が軽率な行動をとったことに驚いた。	2	[3842,6473,5766,6201,6393]
8716	myriad	無数、多数	Myriad stars twinkled in the night sky.	夜空には無数の星が輝いていた。	2	[5593,3815,1842,330,9911]
8717	disfigure	外見を損なう、台無しにする	The scar badly disfigured his face.	その傷は彼の顔をひどく損ねた。	2	[5446,7392,5200,922,6740]
8718	discreet	慎重な、思慮深い	She always keeps secrets in a discreet manner.	彼女はいつも慎重な態度で秘密を守っている。	2	[10065,776,2500,2993,2909]
8719	maternal	母性の、母親の	She showed a great deal of maternal love.	彼女は母親としての愛情をたっぷり注いだ。	2	[8579,4273,6054,8242,8955]
